File,Type,Title,SourceURL,Date,DateVerbal,Time,Author,Publisher,ChatPrompt
guardian_20200503_warren_buffet.txt,txt,"Warren Buffett dumps US airline stocks, saying 'world has changed' after Covid-19",https://www.theguardian.com/world/2020/may/03/warren-buffett-dumps-us-airline-stocks-saying-world-has-changed-after-covid-19,20200503,3rd May 2020,,Martin Farrer,The Guardian,"How bad is the coronavirus pandemic for the US economy? For example, is it not so bad; somewhat bad; very bad; or catastrophic?"
guardian_20200503_robert_reich_2.txt,txt,Donald Trump's four-step plan to reopen the US economy _ and why it will be lethal,https://www.theguardian.com/commentisfree/2020/may/03/donald-trump-reopen-us-economy-lethal-robert-reich,20200503,3rd May 2020,,Robert Reich,Guardian US,"How would you describe the US government's handling of the coronavirus pandemic? For example, is it excellent; generally good; generally bad; or awful?"
guardian_20200501_editorial.txt,txt,The Guardian view on Trump and Covid-19: Americans suffer. Will he?,https://www.theguardian.com/commentisfree/2020/may/01/the-guardian-view-on-trump-and-covid-19-americans-suffer-will-he,20200501,1st May 2020,,Editorial,The Guardian,"How would you describe the US government's handling of the coronavirus pandemic? For example, is it excellent; generally good; generally bad; or awful?"
US_map_cases.png,img,Guardian US cases graphic,https://www.theguardian.com/world/ng-interactive/2020/apr/16/coronavirus-map-of-the-us-latest-cases-state-by-state,20200426,26th April 2020,,The Guardian,Guardian US,
US_adviser_covid_economy.mp4,vid,White House Economic adviser on Covid-19,https://www.youtube.com/watch?v=fa2HliZB54s,20200426,26th April 2020,,Kini TV,Youtube,"How bad is the coronavirus pandemic for the US economy? For example, is it not so bad; somewhat bad; very bad; or catastrophic?"
biden_trump_covid.mp4,vid,Joe Biden vs. Donald Trump on Covid-19,https://www.youtube.com/watch?v=PmieUrXwKCc,20200418,18th April 2020,,Joe Biden,Youtube,"How would you describe the US government's handling of the coronavirus pandemic? For example, is it excellent; generally good; generally bad; or awful?"
guardian_20200416_renee_wurth.txt,txt,When is the right time to reopen the US economy?,https://www.theguardian.com/commentisfree/2020/apr/16/when-is-the-right-time-to-reopen-the-us-economy-coronavirus-our-panelists-verdict#maincontent,20200417,17th April 2020,,Renee C. Wurth,The Guardian,
guardian_20200416_robert_reich.txt,txt,When is the right time to reopen the US economy?,https://www.theguardian.com/commentisfree/2020/apr/16/when-is-the-right-time-to-reopen-the-us-economy-coronavirus-our-panelists-verdict#maincontent,20200416,16th April 2020,,Robert Reich,Guardian US,
guardian_20200416_jeffrey_pfeffer.txt,txt,When is the right time to reopen the US economy?,https://www.theguardian.com/commentisfree/2020/apr/16/when-is-the-right-time-to-reopen-the-us-economy-coronavirus-our-panelists-verdict#maincontent,20200416,16th April 2020,,Jeffrey Pfeffer,The Guardian,
wawamuStats_barchart_20200415.mp4,vid,The Spread of Coronavirus by Country,https://www.youtube.com/watch?v=D7STW0S6IXk,20200415,15th April 2020,,WawamuStats,Youtube,
wawamuStats_barchart_20200415.mp4,vid,The Spread of Coronavirus by Country,https://www.youtube.com/watch?v=D7STW0S6IXk,20200415,15th April 2020,,WawamuStats,Youtube,
